Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes à la viande façon maison,14.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.00275,0.06075
Boulettes à la viande façon maison,14.0,oeuf,13.75,0.411125,79.0625,18.975,0.0976249999999999,1.302125,1.71875,0.0275,0.050875
Boulettes à la viande façon maison,14.0,pain,7.5,0.02775,87.75,20.7,4.08,0.12075,0.6757500000000001,0.096,0.2055
Boulettes à la viande façon maison,14.0,persil,25.0,0.025,45.0,10.75,0.87,0.1575,0.9275,0.1475,0.2375
Boulettes à la viande façon maison,14.0,viande hachee,125.0,3.75,956.25,227.5,0.3,10.05,34.0,0.25,0.01375
Bricks au fromage et viande hachée,12.0,brick,1.0,,10.6,2.55,0.123,0.181,0.104,0.0135,0.016
Bricks au fromage et viande hachée,12.0,fromage frais,2.0,0.0768,,,0.418,0.1036,0.0774,0.0054,0.3779999999999999
Bricks au fromage et viande hachée,12.0,huile,3.0,0.405,111.0,27.0,0.0,2.9970000000000003,0.0063,0.000294,0.0
Bricks au fromage et viande hachée,12.0,oignon,30.0,0.0,50.7,12.06,2.019,0.0,0.468,0.0,1.5
Bricks au fromage et viande hachée,12.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Bricks au fromage et viande hachée,12.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Bricks au fromage et viande hachée,12.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Bricks au fromage et viande hachée,12.0,viande hachee,50.0,1.5,382.5,91.0,0.12,4.02,13.6,0.1,0.0055
Bricks à la viande et moutarde,28.0,ail,0.8333333333333334,0.0016666666666666,12.166666666666668,2.8666666666666667,0.5233333333333333,0.0064166666666666,0.1391666666666666,0.0009166666666666,0.02025
Bricks à la viande et moutarde,28.0,brick,0.8333333333333334,,8.833333333333334,2.125,0.1025,0.1508333333333333,0.0866666666666666,0.01125,0.0133333333333333
Bricks à la viande et moutarde,28.0,creme fraiche,3.75,0.018375,45.0,10.6125,2.0175,0.070125,0.41625,0.013125,0.09525
Bricks à la viande et moutarde,28.0,huile,2.0,0.27,74.0,18.0,0.0,1.998,0.0042,0.000196,0.0
Bricks à la viande et moutarde,28.0,moutarde a l'ancienne,1.25,0.007625,7.3875,1.775,0.0275,0.12375,0.0825,0.06125,0.0275
Bricks à la viande et moutarde,28.0,oeuf,9.166666666666666,0.2740833333333333,52.70833333333333,12.65,0.0650833333333333,0.8680833333333333,1.1458333333333333,0.0183333333333333,0.0339166666666666
Bricks à la viande et moutarde,28.0,oignon,8.333333333333334,0.0,14.083333333333336,3.3500000000000005,0.5608333333333334,0.0,0.13,0.0,0.4166666666666667
Bricks à la viande et moutarde,28.0,poivre,0.4166666666666667,0.0120833333333333,5.75,1.375,0.1645833333333333,0.03125,0.0554166666666666,0.00015,0.0026666666666666
Bricks à la viande et moutarde,28.0,sel,0.4166666666666667,,0.0,0.0,0.0,0.0,0.0,0.3354166666666667,0.0
Bricks à la viande et moutarde,28.0,viande hachee,25.0,0.75,191.25,45.5,0.06,2.01,6.8,0.05,0.00275
Bricks à la viande épicée,13.0,ail,26.666666666666668,0.0533333333333333,389.33333333333337,91.73333333333332,16.746666666666666,0.2053333333333333,4.453333333333333,0.0293333333333333,0.6480000000000001
Bricks à la viande épicée,13.0,beurre,10.0,5.54,310.0,75.3,0.09,8.29,0.0689999999999999,0.0063,0.0829999999999999
Bricks à la viande épicée,13.0,boeuf,66.66666666666667,0.5866666666666667,236.66666666666669,56.4,2.78,2.2,5.953333333333334,0.5866666666666667,1.0466666666666666
Bricks à la viande épicée,13.0,brick,5.0,,53.0,12.75,0.615,0.905,0.52,0.0675,0.08
Bricks à la viande épicée,13.0,curcuma,10.0,0.184,122.0,29.1,4.44,0.325,0.968,0.0068,0.321
Bricks à la viande épicée,13.0,curry,10.0,0.165,123.0,30.1,0.2629999999999999,1.4,1.45,0.013,0.2629999999999999
Bricks à la viande épicée,13.0,echine de porc,66.66666666666667,,820.0,196.66666666666669,0.0,14.133333333333336,17.46666666666667,0.1,0.0
Bricks à la viande épicée,13.0,feuilles de coriandre,4.0,0.00056,3.704,0.892,0.0348,0.0208,0.0852,0.0048,0.0348
Bricks à la viande épicée,13.0,gingembre,5.0,0.13,70.5,16.75,2.915,0.212,0.449,0.0034,0.1694999999999999
Bricks à la viande épicée,13.0,oeuf,18.33333333333333,0.5481666666666667,105.41666666666666,25.3,0.1301666666666666,1.7361666666666666,2.2916666666666665,0.0366666666666666,0.0678333333333333
Bricks à la viande épicée,13.0,oignon,33.333333333333336,0.0,56.33333333333334,13.400000000000002,2.2433333333333336,0.0,0.52,0.0,1.666666666666667
Bricks à la viande épicée,13.0,sauce soja,5.0,0.000425,9.65,2.275,0.182,0.005,0.354,0.93,0.066
Bricks à la viande épicée,13.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Bruschetta de viande hachée pesto et comté,5.0,baguette,75.0,0.3375,915.0,215.25,43.725,1.05,6.795,0.975,1.725
Bruschetta de viande hachée pesto et comté,5.0,comte,70.0,15.75,1211.0,292.6,0.0,24.22,18.69,0.56,0.0
Bruschetta de viande hachée pesto et comté,5.0,huile,2.5,0.3375,92.5,22.5,0.0,2.4975,0.00525,0.000245,0.0
Bruschetta de viande hachée pesto et comté,5.0,oignon jaune,50.0,0.0,79.5,18.9,3.195,0.0,0.595,0.0,0.1
Bruschetta de viande hachée pesto et comté,5.0,pesto,2.5,0.10975,38.25,9.25,0.165,0.885,0.0984999999999999,0.066,0.08
Bruschetta de viande hachée pesto et comté,5.0,steak,200.0,1.46,1746.0,416.0,41.6,14.2,26.8,2.0,7.94
Bruschetta de viande hachée pesto et comté,5.0,tomate,62.5,0.0,52.6875,12.5625,1.89375,0.0,0.3125,0.0,1.625
Cannelloni de viande,75.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.00275,0.06075
Cannelloni de viande,75.0,canneloni,62.5,1.19375,320.0,76.25,7.375,3.6875,2.7375,0.375,2.6875
Cannelloni de viande,75.0,chair a saucisse,37.5,,502.5,121.125,0.225,10.9125,5.5125,0.5212499999999999,
Cannelloni de viande,75.0,huile d'olive,7.5,1.14,277.5,67.5,0.0,7.4925,0.0,0.0,0.0
Cannelloni de viande,75.0,mozzarella,31.25,3.65625,294.6875,70.9375,0.234375,5.53125,5.031250000000001,0.1875,0.21875
Cannelloni de viande,75.0,oeuf,27.5,0.82225,158.125,37.95,0.1952499999999999,2.60425,3.4375,0.055,0.10175
Cannelloni de viande,75.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Cannelloni de viande,75.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
